puzzle_id,rating,moves,themes,fen,solution_depth,description,algo,heuristic,found,solution_length,nodes_expanded,runtime,reached_max_nodes
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],bfs,na,1,2,40,0.05788929099799134,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],dfs,na,1,2,3,0.0006522910043713637,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],ucs,na,1,2,40,0.04658620800182689,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],astar,null_heuristic,1,2,40,0.04121220800152514,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],astar,material_heuristic,1,2,911,1.2468071250041248,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],astar,mate_in_one_heuristic,1,2,40,0.29097758299758425,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],astar,attacker_proximity_heuristic,1,2,11,0.01570358299795771,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],astar,opponent_king_escape_heuristic,1,2,43,0.10399908299586968,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],astar,mobility_heuristic,1,2,22,0.014233041998522822,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],astar,checks_available_heuristic,1,2,105,0.6346644160003052,0
000rZ,755,d4e6 d6h2,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,1,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],astar,composite_heuristic,1,2,5,0.026458167005330324,0
001KR,591,h8g8 f1f8,['mate' 'mateIn1' 'middlegame' 'oneMove'],6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],bfs,na,1,2,3,0.0010804999983520247,0
001KR,591,h8g8 f1f8,['mate' 'mateIn1' 'middlegame' 'oneMove'],6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],dfs,na,1,2,3,0.00038733399560442194,0
