puzzle_id,rating,moves,themes,fen,solution_depth,description,algo,heuristic,found,solution_length,nodes_expanded,runtime,reached_max_nodes
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],bfs,na,1,3,3053,2.0638312500013853,0
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],dfs,na,0,-1,10000,0.28820262500084937,1
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],ucs,na,1,3,3053,2.021666542001185,0
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],astar,null_heuristic,1,3,3053,2.0284690410044277,0
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],astar,material_heuristic,1,3,372,0.28962624999985565,0
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],astar,mate_in_one_heuristic,1,3,1029,3.6831473339989316,0
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],astar,attacker_proximity_heuristic,1,3,6012,4.683170333002636,0
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],astar,opponent_king_escape_heuristic,1,3,28,0.041872040994348936,0
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],astar,mobility_heuristic,0,-1,10000,2.6859184999993886,1
000Zo,1353,e5f6 e8e1 g1f2 e1f1,['endgame' 'mate' 'mateIn2' 'short'],4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,2,['endgame' 'mate' 'mateIn2' 'short'],astar,checks_available_heuristic,0,-1,10000,24.496312625000428,1
